model_year,kms_driven,owner,location,mileage,power,price,new_col,CC,brand_name
2017,40000.0,1,visakhapatnam,25.0,27.2,150500,False,500,Royal Enfield Thunderbird 
2019,6605.11895752201,1,gurgaon,30.0,18.0,130000,True,350,Royal Enfield Standard 
2021,185.0,1,chennai,32.985657659544756,26.785899999999966,127500,False,250,Hyosung GD
2021,956.0,1,delhi,55.0,7.91,73000,False,100,Hero Splendor Plus SELF ALLOY i3s 
2015,6605.11895752201,1,chennai,84.0,8.25,31000,True,110,Honda Dream Neo 
2019,28700.0,1,surat,34.75404761904762,19.8,170000,False,350,Royal Enfield Thunderbird X 
2021,8300.0,1,mumbai,40.0,17.03,120000,False,202,Honda Hornet 2.0 
2018,9097.0,1,gurgaon,53.0,19.0,70000,False,220,Bajaj Avenger Street 
2017,15950.0,1,hyderabad,45.0,14.3,67500,False,150,Bajaj Avenger Street 
2018,17000.0,1,hyderabad,43.0,20.3,98500,False,250,Yamaha FZ25 
2013,22605.0,2,delhi,45.0,13.0,35000,False,150,Yamaha FZs 
2014,20372.0,1,delhi,60.0,15.2,42000,False,160,TVS Apache RTR 
2015,6605.11895752201,1,vadodara,55.0,8.25,37500,True,110,Honda Livo 
2013,23000.0,1,vadodara,5.0,8.2,34000,False,100,Hero Passion Pro 
2015,5800.0,1,delhi,37.0,19.8,110000,False,350,Royal Enfield Bullet 
2015,25000.0,2,bangalore,32.0,27.2,125000,False,500,Royal Enfield Classic 
2016,25000.0,1,kurukshetra,5.0,8.2,18750,False,100,Hero Passion Pro 
2015,15671.0,2,delhi,42.0,16.7,65000,False,150,Yamaha YZF-R15 2.0 
2021,1300.0,1,mumbai,35.0,19.1,207500,False,350,Royal Enfield Classic 
2020,2500.0,1,mumbai,31.0,29.63,202312,False,250,Husqvarna Vitpilen 
2018,22000.0,1,hyderabad,32.0,24.5,175000,False,410,Royal Enfield Himalayan 
2013,6605.11895752201,1,pune,35.0,23.19,47000,True,200,Bajaj Pulsar NS
2020,450.0,1,hyderabad,22.0,33.0,263000,False,310,TVS Apache RR
2016,6605.11895752201,1,bangalore,35.0,24.5,85000,True,200,Bajaj Pulsar RS
2019,4930.0,1,moradabad,28.88,27.0,140000,False,295,Jawa Forty Two 
2018,6605.11895752201,1,delhi,45.0,17.3,58000,True,180,TVS Apache RTR 
2011,35000.0,1,gurgaon,65.0,14.2,25000,False,150,Hero CBZ Xtreme 
2014,15000.0,1,bhagalpur,95.0,7.4,36000,False,100,TVS Sport 
2014,17700.0,1,hyderabad,5.0,8.2,38000,False,100,Hero Passion Pro 
2016,21000.0,1,delhi,38.0,21.0,58200,False,220,Bajaj Pulsar 
2019,11500.0,1,bangalore,61.39,14.3,124500,False,125,KTM Duke 
2019,6605.11895752201,1,hyderabad,40.0,20.23,90000,True,200,TVS Apache RTR 
2015,6605.11895752201,1,hooghly,58.0,13.0,46000,True,150,Yamaha FZ S V 2.0 
2020,8019.0,1,jhunjhunu,53.0,14.79,85000,False,160,Bajaj Avenger Street 
2020,930.0,1,hyderabad,26.0,42.3,290000,False,390,KTM RC 
2015,46740.0,1,mumbai,38.0,21.0,40000,False,220,Bajaj Pulsar 
2019,12000.0,1,kochi,35.0,19.8,170000,False,350,Royal Enfield Classic 
2020,13000.0,1,srikakulam,34.18732642751613,29.6,199999,False,250,KTM Duke 
2020,1475.0,1,delhi,45.0,20.78,173300,False,350,Honda H’ness CB 
2019,6605.11895752201,1,jamshedpur,28.0,34.5,157600,True,400,Bajaj Dominar 
2015,14300.0,1,bangalore,35.0,19.8,100000,False,350,Royal Enfield Bullet Electra Twinspark 
2016,28000.0,1,ahmedabad,40.0,19.8,82050,False,350,Royal Enfield Thunderbird 
2018,6605.11895752201,1,hazaribagh,42.0,23.2,65000,True,200,Bajaj Pulsar NS
2018,25360.826666666664,3,delhi,42.0,23.2,56000,True,200,Bajaj Pulsar NS
2016,30000.0,1,bangalore,38.0,21.0,70000,False,220,Bajaj Pulsar 
2016,25000.0,1,noida,48.0,20.0,46992,False,223,Hero Karizma ZMR 
2019,11000.0,1,mumbai,35.0,25.0,115000,False,149.5,UM Renegade Commando Classic 
2016,2500.0,1,delhi,35.0,19.8,117000,False,350,Royal Enfield Classic 
2017,16781.0,1,bangalore,25.0,19.8,112500,False,350,Royal Enfield Electra 
2013,6605.11895752201,1,delhi,65.0,14.85,29100,True,150,Bajaj Pulsar 
2017,26000.0,1,bangalore,35.0,24.8,77815,False,149.5,UM Renegade Commando 
2015,6605.11895752201,1,delhi,45.0,17.2,44000,True,180,TVS Apache RTR 
2018,18000.0,1,bangalore,52.0,12.9,74700,False,150,Yamaha FZS FI 
2019,7000.0,1,chandigarh,35.0,19.8,170000,False,350,Royal Enfield Classic 
2019,2300.0,1,chandigarh,35.0,19.8,195000,False,350,Royal Enfield Classic 
2019,12000.0,1,chandigarh,61.44,14.3,135000,False,125,KTM Duke 
2015,4600.0,1,lucknow,26.0,29.1,135000,False,535,Royal Enfield Continental GT 
2014,28912.0,2,bangalore,35.0,25.0,93999,False,200,KTM Duke 
2016,7800.0,1,bangalore,53.0,19.0,60000,False,220,Bajaj Avenger Street 
2017,37000.0,1,reasi,65.0,12.33,32250,False,125,Bajaj Discover 
2010,70000.0,1,noida,40.0,17.0,19215,False,223,Hero Karizma R 
2016,50000.0,2,pune,40.0,19.0,51000,False,220,Bajaj Avenger 
2018,85000.0,2,delhi,60.0,16.1,55000,False,160,TVS Apache RTR 
2009,6605.11895752201,1,delhi,65.0,14.85,14000,True,150,Bajaj Pulsar 
2021,3500.0,1,delhi,22.0,33.0,249000,False,310,TVS Apache RR
2016,3400.0,2,gurgaon,26.0,42.3,150000,False,390,KTM RC 
2020,6500.0,1,jalandhar,89.0,8.1,55000,False,100,Bajaj CT 
2017,36500.0,1,ludhiana,57.0,12.0,55000,False,125,Bajaj V12 
2020,3500.0,1,chandigarh,35.0,25.1,215000,False,200,KTM RC 
2018,4900.0,1,chandigarh,35.0,19.8,165000,False,350,Royal Enfield Classic 
2019,14500.0,1,ambala,35.0,19.8,157000,False,350,Royal Enfield Classic 
2020,6000.0,1,chandigarh,35.0,19.1,210000,False,350,Royal Enfield Classic 
2019,8000.0,1,chandigarh,36.98,19.8,160000,False,350,Royal Enfield Bullet 
2014,6605.11895752201,1,bangalore,65.0,10.0,47000,True,125,Honda CB Shine 
2018,3600.0,1,chandigarh,35.0,19.0,115000,False,220,Bajaj Avenger Cruise 
2009,14000.0,2,chandigarh,30.0,19.8,125000,False,350,Royal Enfield Bullet Electra 
2012,49000.0,1,panchkula,40.0,19.8,73000,False,350,Royal Enfield Thunderbird 
2012,16804.314654761907,2,chandigarh,45.0,13.7,58000,True,150,TVS Apache 
2020,5000.0,1,pune,28.88,27.0,190000,False,295,Jawa Forty Two 
2020,13000.0,1,chandigarh,35.0,19.1,209000,False,350,Royal Enfield Classic 
2019,8000.0,1,chandigarh,35.0,27.2,205000,False,500,Royal Enfield Classic 
2017,6605.11895752201,1,ahmedabad,84.0,8.25,52000,True,110,Honda Dream Yuga 
2018,7000.0,1,chandigarh,35.0,19.8,170000,False,350,Royal Enfield Classic 
2016,18000.0,1,ambala,42.0,16.0,65000,False,150,Yamaha YZF-R15 
2018,4000.0,1,jalandhar,40.0,19.8,150000,False,350,Royal Enfield Thunderbird 
2019,12000.0,1,delhi,35.0,19.8,162000,False,350,Royal Enfield Classic 
2020,3000.0,1,delhi,32.0,24.3,210000,False,410,Royal Enfield Himalayan 
2014,38000.0,1,hyderabad,60.0,8.5,33000,False,110,Mahindra Centuro 
2016,28800.0,1,bangalore,67.0,8.1,39000,False,100,Bajaj CT 
2019,36000.0,1,chittorgarh,55.0,8.25,53000,False,100,Hero HF Deluxe Kick Alloy 
2020,5659.0,1,mumbai,35.0,19.1,185000,False,350,Royal Enfield Classic Gunmetal Grey 
2015,16804.314654761907,2,jalandhar,58.0,13.0,73000,True,150,Yamaha FZ S V 2.0 
2018,6605.11895752201,1,jalandhar,37.0,19.8,150000,True,350,Royal Enfield Standard 
2016,6605.11895752201,1,delhi,58.0,13.0,37500,True,150,Yamaha FZ V 2.0 
2012,6605.11895752201,1,delhi,65.0,14.85,24000,True,150,Bajaj Pulsar 
2015,39000.0,1,bangalore,63.0,14.0,46500,False,150,Suzuki Gixxer 
2011,39000.0,1,ahmedabad,40.0,19.0,27899,False,220,Bajaj Avenger 
2017,21500.0,1,patna,22.0,33.0,35000,False,310,TVS Apache RR
2019,6605.11895752201,1,mumbai,52.0,13.82,99000,True,160,Honda CB Unicorn 
2019,13700.0,1,mumbai,40.0,14.6,110000,False,150,Suzuki Gixxer SF 
2021,4890.0,1,mumbai,55.0,12.5,112000,False,160,Honda CB Unicorn 
2011,38998.0,1,bangalore,40.0,19.8,95000,False,350,Royal Enfield Bullet Electra 
2017,18649.0,1,bathinda,81.0,8.2,49500,False,100,Hero Splendor Plus 
2015,15648.0,2,bathinda,89.0,8.1,32500,False,100,Bajaj CT 
2014,6605.11895752201,1,hyderabad,60.0,7.5,28000,True,110,Yamaha Crux 
2014,42000.0,1,hyderabad,55.0,8.9,38000,False,125,Hero Glamour 
2013,29000.0,1,chandigarh,32.0,27.2,130000,False,500,Royal Enfield Classic Desert Storm 
2014,52000.0,1,hyderabad,81.0,8.2,39000,False,100,Hero Splendor Plus 
2013,40000.0,1,hyderabad,65.0,12.33,32000,False,125,Bajaj Discover 
2014,46000.0,1,hyderabad,55.0,8.9,39000,False,125,Hero Glamour 
2013,38000.0,1,hyderabad,37.0,19.8,120000,False,350,Royal Enfield Bullet 
2015,6605.11895752201,1,ahmedabad,65.0,10.0,25000,True,125,Honda CB Shine 
2016,31000.0,1,mumbai,25.0,42.9,135000,False,390,KTM Duke 
2009,6605.11895752201,1,jaipur,65.0,14.85,15000,True,150,Bajaj Pulsar 
2019,2500.0,1,chandigarh,37.0,19.8,160000,False,350,Royal Enfield Bullet 
2011,6605.11895752201,1,bangalore,60.0,15.2,40000,True,160,TVS Apache RTR 
2016,25300.0,1,bangalore,57.0,11.8,45000,False,150,Bajaj V15 
2015,96054.21,4,delhi,35.0,24.16,41000,True,200,Bajaj Pulsar RS
2017,16805.0,1,delhi,35.0,19.8,132000,False,350,Royal Enfield Classic Gunmetal Grey 
2016,19837.0,1,delhi,35.0,19.8,110000,False,350,Royal Enfield Classic 
